article_no,selling_price,inventory_quantity,inventory_value,4_weeks_sales,MOI,country
11562,19.99,33,659.67,6,5.5,UK
11568,29.99,91,2729.09,53,1.72,UK
11567,26.99,80,2159.2,11,7.27,UK
18028,9.99,7,69.93,2,3.5,UK
11578,89.99,6,539.94,1,6,UK
11582,24.99,27,674.73,2,13.5,UK
11599,24.99,87,2174.13,34,2.56,UK
11505,19.99,66,1319.34,23,2.91,UK
11572,29.99,90,2699.1,50,1.8,UK
11019,19.99,34,679.66,4,8.5,UK
11640,24.99,1,24.99,25,0.04,UK
11473,19.99,265,5297.35,110,2.41,UK
11501,14.99,124,1858.76,25,4.96,UK
11635,19.99,66,1319.34,15,4.4,UK
11616,44.99,64,2879.36,18,3.56,UK
11538,11.99,49,587.51,25,1.96,UK
10442,11.99,79,947.21,40,1.98,UK
11625,24.99,57,1424.43,5,11.4,UK
11052,7.99,81,647.19,34,2.38,UK
18026,9.99,7,69.93,1,7,UK
11429,44.99,189,8503.11,90,2.19,UK
18025,9.99,6,59.94,1,6,UK
11444,9.99,15,149.85,0,99998,UK
11574,14.99,19,284.81,6,3.17,UK
11591,39.99,142,5678.58,89,1.67,UK
11667,16.99,248,4213.52,46,5.39,UK
11674,44.99,254,11427.46,149,2.07,UK
11447,34.99,28,979.72,6,4.67,UK
11455,34.99,87,3044.13,49,1.78,UK
11449,39.99,12,479.88,4,3,UK
11692,13.99,160,2238.4,13,12.31,UK
11529,9.99,109,1088.91,19,5.74,UK
11579,19.99,150,2998.5,29,5.17,UK
11489,44.99,9,404.91,1,9,UK
11573,34.99,21,734.79,3,7,UK
11570,19.99,37,739.63,6,6.17,UK
11527,39.99,33,1319.67,11,3,UK
11705,16.99,15,254.85,8,1.88,UK
11442,59.99,28,1679.72,89,0.32,UK
11609,19.99,172,3438.28,93,1.9,UK
11634,29.99,0,0,29,0,UK
11691,34.99,107,3743.93,46,2.33,UK
11768,8.99,264,2373.36,208,1.26,UK
18038,9.99,0,0,0,0,UK
18037,9.99,3,29.97,1,3,UK
18040,9.99,4,39.96,0,99998,UK
11368,19.99,38,759.62,0,99998,UK
10899,31.99,7,223.93,1,7,UK
11687,7.99,70,559.3,9,7.78,UK
11698,16.99,127,2157.73,32,3.97,UK
11703,12.99,39,506.61,91,0.45,UK
18043,31.99,1,31.99,1,1,UK
11686,29.99,89,2669.11,48,1.85,UK
18055,31.99,0,0,0,0,UK
18047,9.99,0,0,1,0,UK
18046,9.99,7,69.93,1,7,UK
11724,14.99,31,464.69,2,15.5,UK
11730,19.99,65,1299.35,15,4.33,UK
11733,11.99,53,635.47,209,0.26,UK
11742,14.99,152,2278.48,7,21.71,UK
11745,19.99,0,0,0,0,UK
11419,11.99,63,755.37,0,99998,UK
11044,9.99,19,189.81,5,3.8,UK
11848,9.99,12,119.88,3,4,UK
11875,19.99,4,79.96,2,2,UK
11886,24.99,5,124.95,2,2.5,UK
11897,19.99,5,99.95,1,5,UK
11279,34.99,9,314.91,3,3,UK
11881,14.99,20,299.8,1,20,UK
11764,3.99,81,323.19,0,99998,UK
11765,2.99,73,218.27,0,99998,UK
11796,2.99,57,170.43,0,99998,UK
11797,4.99,40,199.6,2,20,UK
11341,59.99,5,299.95,1,5,UK
11577,139.99,4,559.96,0,99998,UK
11831,9.99,60,599.4,22,2.73,UK
11654,29.99,68,2039.32,25,3.24,UK
11832,8.99,23,206.77,4,5.75,UK
11874,19.99,17,339.83,4,4.25,UK
11862,19.99,16,319.84,1,16,UK
11868,19.99,7,139.93,1,7,UK
11418,32.99,129,4255.71,4,32.25,UK
11884,29.99,6,179.94,0,99998,UK
11802,24.99,106,2648.94,45,2.36,UK
11808,34.99,94,3289.06,34,2.76,UK
11766,14.99,14,209.86,3,4.67,UK
11662,49.99,203,10147.97,51,3.98,UK
11727,19.99,113,2258.87,55,2.42,UK
11739,19.99,81,1619.19,22,3.68,UK
11840,11.99,53,635.47,45,1.18,UK
11959,19.99,142,2838.58,40,3.6,UK
11402,11.99,112,1342.88,88,1.81,UK
11838,16.99,128,2174.72,14,9.14,UK
11904,34.99,13,454.87,8,1.63,UK
11924,39.99,25,999.75,0,99998,UK
11923,34.99,25,874.75,1,25,UK
11943,4.99,19,94.81,8,2.38,UK
11760,24.99,0,0,7,0,UK
12000,39.99,0,0,1,0,UK
11998,19.99,4,79.96,0,99998,UK
11999,24.99,15,374.85,0,99998,UK
11910,39.99,141,5638.59,92,1.78,UK
11954,39.99,165,6598.35,116,1.78,UK
11908,7.99,7,55.93,1,7,UK
11925,11.99,17,203.83,1,17,UK
11907,22.99,16,367.84,1,16,UK
11937,19.99,109,2178.91,16,6.81,UK
11002,49.99,4,199.96,2,2,UK
11761,34.99,7,244.93,0,99998,UK
12055,24.99,17,424.83,7,2.43,UK
11901,29.99,78,2339.22,20,3.9,UK
11951,26.99,110,2968.9,58,1.9,UK
11657,29.99,121,3628.79,10,12.1,UK
11970,19.99,77,1539.23,23,3.35,UK
11994,11.99,118,1414.82,69,1.83,UK
11948,24.99,123,3073.77,41,3,UK
11971,34.99,81,2834.19,31,2.61,UK
11598,39.99,73,2919.27,26,2.81,UK
12063,29.99,12,359.88,4,3,UK
11944,29.99,8,239.92,0,99998,UK
12013,29.99,79,2369.21,12,6.58,UK
11903,19.99,37,739.63,3,12.33,UK
11983,24.99,131,3273.69,61,2.15,UK
12060,16.99,16,271.84,5,3.2,UK
12051,29.99,82,2459.18,14,5.86,UK
11644,24.99,49,1224.51,19,2.58,UK
12012,22.99,104,2390.96,54,1.93,UK
12159,29.99,0,0,0,0,UK
12152,19.99,1,19.99,3,0.33,UK
11827,22.99,79,1816.21,0,99998,UK
11945,19.99,81,1619.19,23,4.39,UK
12129,3.99,17,67.83,2,8.5,UK
11205,29.99,23,689.77,10,2.3,UK
12128,3.99,19,75.81,0,99998,UK
12141,11.99,25,299.75,10,2.5,UK
12142,11.99,24,287.76,22,1.09,UK
12177,11.99,51,611.49,16,3.19,UK
12106,24.99,72,1799.28,25,2.88,UK
12167,19.99,80,1599.2,0,99998,UK
10891,6.99,398,2782.02,35,11.37,USA
10887,7.99,308,2460.92,4,77,USA
11077,19.99,40,799.6,0,99998,USA
11145,17.99,20,359.8,1,20,USA
11204,39.99,76,3039.24,10,7.7,USA
11280,39.99,63,2519.37,36,1.75,USA
10789,19.99,148,2958.52,87,1.99,USA
10793,19.99,22,439.78,7,3.14,USA
10840,24.99,275,6872.25,13,21.15,USA
11033,24.99,113,2823.87,4,28.25,USA
10960,19.99,158,3158.42,109,2.14,USA
11252,39.99,201,8037.99,10,20.1,USA
11002,49.99,29,1449.71,8,3.63,USA
11005,49.99,0,0,12,0,USA
11417,59.99,0,0,0,0,USA
11341,59.99,53,3179.47,11,4.82,USA
11364,39.99,56,2239.44,11,5.09,USA
10532,39.99,62,2479.38,7,8.86,USA
10699,24.99,4,99.96,13,0.31,USA
11369,24.99,36,899.64,2,18,USA
10900,32.99,58,1913.42,12,4.83,USA
10905,29.99,14,419.86,2,7,USA
11267,22.99,138,3172.62,13,10.69,USA
11261,21.99,57,1253.43,23,2.48,USA
11387,7.99,247,1973.53,188,1.9,USA
10844,14.99,236,3537.64,37,6.38,USA
11168,16.99,856,14543.44,763,1.32,USA
10914,11.99,106,1270.94,83,1.65,USA
11167,19.99,1413,28245.87,1051,1.42,USA
11411,16.99,51,866.49,47,1.74,USA
11091,11.99,100,1199,74,1.5,USA
11251,9.99,226,2257.74,129,2.47,USA
11284,19.99,311,6216.89,14,22.21,USA
19998,6.99,392,2740.08,156,2.65,USA
11402,9.99,1209,12077.91,612,2.25,USA
11422,49.99,30,1499.7,20,1.5,USA
11445,59.99,0,0,0,0,USA
11516,19.99,175,3498.25,96,2.05,USA
11517,24.99,210,5247.9,176,1.33,USA
11522,19.99,286,5717.14,192,1.64,USA
11525,44.99,421,18940.79,40,10.53,USA
11506,29.99,89,2669.11,35,2.54,USA
11534,17.99,33,593.67,33,1,USA
11567,29.99,197,5908.03,126,2.04,USA
11568,24.99,350,8746.5,271,1.4,USA
18028,9.99,29,289.71,54,1.46,USA
18033,29.99,18,539.82,19,0.95,USA
11578,119.99,25,2999.75,17,1.47,USA
11577,149.99,25,3749.75,9,2.78,USA
11352,29.99,15,449.85,9,1.67,USA
11566,24.99,225,5622.75,599,0.4,USA
11582,19.99,62,1239.38,43,1.47,USA
11593,24.99,60,1499.4,15,4,USA
11571,29.99,0,0,1,0,USA
11605,24.99,142,3548.58,38,3.74,USA
11623,39.99,4,159.96,5,0.8,USA
11635,14.99,208,3117.92,138,1.78,USA
11615,69.99,131,9168.69,61,2.15,USA
10442,9.99,221,2207.79,236,1.03,USA
11611,49.99,285,14247.15,2,142.5,USA
11626,29.99,115,3448.85,53,2.19,USA
11538,9.99,66,659.34,30,2.23,USA
