sku,article_no,selling_price,inventory_quantity,4_weeks_sales,status,factory,MOI,PO,ETA,market,DUS_quantity,total_cost,MOQ,inventory_value
PB-330BDE-11701,11701,49.99,0,1.0,STD,Togran,0.0,,,DE,0.0,19.29,1000.0,
PPR-404-11765,11765,3.99,16,0.0,STD,SQT,99998.0,,,DE,184.0,0.81,1000.0,
PB-409CDE-11790,11790,14.99,17,42.0,EOL,Togran,0.4,,,DE,1.0,7.77,1000.0,
PM-519L-11705,11705,17.99,35,5.0,EOL,Togran,7.0,,,DE,23.0,4.6,2000.0,
PPR-406-11796,11796,4.99,18,0.0,STD,CLC,99998.0,,,DE,2170.0,0.86,2000.0,
PPR-407-11797,11797,4.99,17,0.0,STD,CLC,99998.0,,,DE,2364.0,1.34,2100.0,
PD-707BPSDE-10896,10896,34.99,21,0.0,STD,CEZ,99998.0,,,DE,0.0,15.05,20.0,
PD-714BDE-B11672,11672,16.99,2,171.0,STD,SQT,0.01,500.0,2023-02-16,DE,0.0,6.99,500.0,
PM-209UW-11832,11832,8.99,18,17.0,STD,Intech,1.06,,,DE,676.0,2.42,3000.0,
PM-209PW-11831,11831,8.99,28,17.0,STD,Intech,1.65,,,DE,2617.0,2.52,3000.0,
PB-208BND-11863,11863,14.99,21,2.0,STD,CEZ,10.5,,,DE,0.0,8.35,20.0,
PB-208WND-11869,11869,14.99,2,0.0,STD,CEZ,99998.0,,,DE,20.0,8.35,20.0,
PB-107PND-11892,11892,19.99,0,4.0,STD,CEZ,0.0,,,DE,8.0,8.91,20.0,
PB-210BUS-11726,11726,19.99,30,27.0,STD,BOW,1.11,,,DE,615.0,7.1,500.0,
PB-213BUS-11738,11738,19.99,4,2.0,STD,BOW,2.0,,,DE,208.0,6.6,500.0,
PB-329BUS-11663,11663,44.99,8,0.0,STD,JW,99998.0,,,DE,300.0,18.39,500.0,
PB-429US-11684,11684,34.99,30,10.0,STD,BOW,3.0,,,DE,416.0,13.09,500.0,
PB-313US-11445,11445,59.99,3,1.0,STD,Donar,3.0,,,DE,131.0,17.19,500.0,
PB-106USW-11280,11280,34.99,10,0.0,STD,Chicony,99998.0,,,DE,159.0,8.69,500.0,
PD-307BUS-11369,11369,24.99,0,0.0,STD,CEZ,0.0,,,DE,10.0,9.46,20.0,
PD-707BPSUS-10900,10900,29.99,8,3.0,STD,CEZ,2.67,,,DE,128.0,13.64,20.0,
PB-220HUS-11506,11506,29.99,16,1.0,STD,Togran,16.0,,,DE,397.0,8.42,1000.0,
PD-212WUS-11696,11696,17.99,5,2.0,STD,SQT,2.5,,,DE,131.0,5.72,500.0,
PB-509HUS-11002,11002,49.99,0,2.0,STD,Donar,0.0,400.0,2023-02-16,DE,10.0,16.44,500.0,
PB-409WUUS-11776,11776,17.99,18,2.0,STD,Togran,9.0,,,DE,152.0,5.68,1000.0,
PB-523BUS-11694,11694,24.99,10,1.0,EOL,Togran,10.0,,,DE,803.0,9.34,1000.0,
PB-521US-11422,11422,49.99,12,1.0,STD,Donar,12.0,,,DE,129.0,11.55,500.0,
PB-514PUS-11062,11062,39.99,4,2.0,STD,Togran,2.0,,,DE,5.0,12.69,1000.0,
PB-409CUS-11791,11791,14.99,0,3.0,EOL,Togran,0.0,,,DE,5.0,7.77,1000.0,
PB-208BRU-11862,11862,14.99,20,0.0,STD,CEZ,99998.0,,,DE,0.0,8.35,20.0,
PB-208WRU-11868,11868,14.99,14,6.0,STD,CEZ,2.33,,,DE,0.0,8.35,20.0,
PB-107PTR-11889,11889,14.99,9,1.0,STD,CEZ,9.0,,,DE,0.0,8.91,20.0,
PD-303WTR-11895,11895,24.99,5,0.0,STD,CEZ,99998.0,,,DE,5.0,11.01,20.0,
